,Symbol,Company Name,Industry,Sector,Founded,shares outstanding
363,CCL,Carnival Corporation,Travel Services,Consumer Discretionary,-,1306259893.0
364,WRB,W. R. Berkley,Insurance - Property & Casualty,Financials,1967,257523004.0
365,TYL,Tyler Technologies,Software - Application,Technology,1966,42078402.0
366,AXON,Axon Enterprise,Aerospace & Defense,Industrials,1993,74760001.0
367,AKAM,Akamai Technologies,Software - Infrastructure,Technology,1998,151712993.0
368,CF,CF Industries Holdings,Agricultural Inputs,Materials,1946,192948004.0
369,FSLR,First Solar,Solar,Technology,1999,106831000.0
370,PAYC,Paycom Software,Software - Application,Technology,1998,57949098.0
371,NTAP,NetApp,Computer Hardware,Technology,1992,208791021.0
372,MRO,Marathon Oil,Oil & Gas E&P,Energy,1887,605686954.0
373,CINF,Cincinnati Financial,Insurance - Property & Casualty,Financials,1950,156855993.0
374,CMS,CMS Energy,Utilities - Regulated Electric,Utilities,1987,291727016.0
375,IEX,IDEX Corporation,Specialty Industrial Machinery,Industrials,-,75601695.0
376,TXT,Textron,Aerospace & Defense,Industrials,1923,198071013.0
377,WAT,Waters,Diagnostics & Research,Healthcare,1958,59102902.0
378,MAA,Mid-America Apartment Communities,REIT - Residential,Real Estate,-,119832006.0
379,LUV,Southwest Airlines Co.,Airlines,Industrials,1967,595633988.0
380,SWKS,Skyworks Solutions,Semiconductors,Technology,1962,159392986.0
381,RF,Regions Financial,Banks - Regional,Financials,1970,938377019.0
382,BBY,Best Buy Co.,Specialty Retail,Consumer Discretionary,1966,217637986.0
383,BG,Bunge,Farm Products,Consumer Staples,1818,150641996.0
384,TER,Teradyne,Semiconductor Equipment & Materials,Technology,1960,154013991.0
385,CLX,The Clorox Company,Household & Personal Products,Consumer Staples,1913,124001002.0
386,WDC,Western Digital,Computer Hardware,Technology,1970,324144981.0
387,AVY,Avery Dennison,Business Equipment & Supplies,Industrials,1935,80582799.0
388,EXPE,Expedia Group,Travel Services,Consumer Discretionary,1996,143364991.0
389,OMC,Omnicom Group,Advertising Agencies,Communication Services,-,197571003.0
390,ESS,Essex Property Trust,REIT - Residential,Real Estate,-,66443403.0
391,HBAN,Huntington Bancshares,Banks - Regional,Financials,1866,1447879962.0
392,FOXA,Fox Corporation,Entertainment,Communication Services,-,468083992.0
393,FOX,Fox Corporation,Entertainment,Communication Services,-,506118984.0
394,L,Loews,Insurance - Property & Casualty,Financials,-,225508994.0
395,BALL,Ball Corporation,Packaging & Containers,Consumer Discretionary,1880,315059016.0
396,STX,Seagate Technology Holdings,Computer Hardware,Technology,1978,207847989.0
397,EPAM,EPAM Systems,Information Technology Services,Technology,1993,57960798.0
398,NTRS,Northern Trust,Asset Management,Financials,1889,207003989.0
399,PKG,Packaging Corporation of America,Packaging & Containers,Consumer Discretionary,1867,89915103.0
400,SNA,Snap-on,Tools & Accessories,Industrials,1920,52916498.0
401,DGX,Quest Diagnostics,Diagnostics & Research,Healthcare,1967,112235005.0
402,POOL,Pool Corporation,Industrial Distribution,Industrials,1993,39052000.0
403,LKQ,LKQ Corporation,Auto Parts,Consumer Discretionary,1998,267555996.0
404,RVTY,Revvity,Diagnostics & Research,Healthcare,1937,124135006.0
405,CE,Celanese,Chemicals,Materials,1918,108852000.0
406,UAL,United Airlines Holdings,Airlines,Industrials,1934,327980007.0
407,CBOE,Cboe Global Markets,Financial Data & Stock Exchanges,Financials,1973,105517002.0
408,MGM,MGM Resorts International,Resorts & Casinos,Consumer Discretionary,1986,350888969.0
409,LW,Lamb Weston Holdings,Packaged Foods,Consumer Staples,1950,144927007.0
410,LDOS,Leidos Holdings,Information Technology Services,Technology,1969,137351002.0
411,CAG,Conagra Brands,Packaged Foods,Consumer Staples,1919,477968018.0
412,TRMB,Trimble,Scientific & Technical Instruments,Technology,1978,248321988.0
413,TAP,Molson Coors Beverage Company,Beverages - Brewers,Consumer Staples,1873,216351009.0
414,NDSN,Nordson,Specialty Industrial Machinery,Industrials,1935,57014500.0
415,UDR,"UDR, Inc.",REIT - Residential,Real Estate,-,352632023.0
416,AMCR,Amcor,Packaging & Containers,Consumer Discretionary,-,1446439930.0
417,SWK,Stanley Black & Decker,Tools & Accessories,Industrials,1843,153229998.0
418,INCY,Incyte,Biotechnology,Healthcare,1991,224087999.0
419,CFG,Citizens Financial Group,Banks - Regional,Financials,1828,472294026.0
420,LNT,Alliant Energy,Utilities - Regulated Electric,Utilities,1917,252718996.0
421,DPZ,Domino's Pizza,Restaurants,Consumer Discretionary,1960,35094297.0
422,SYF,Synchrony Financial,Credit Services,Financials,-,418182991.0
423,IP,International Paper Company,Packaging & Containers,Consumer Discretionary,1898,345999021.0
424,NWSA,News Corporation,Entertainment,Communication Services,-,577746973.0
425,MAS,Masco,Building Products & Equipment,Industrials,1929,224926001.0
426,NWS,News Corporation,Entertainment,Communication Services,-,556448017.0
427,MOS,The Mosaic Company,Agricultural Inputs,Materials,-,332280007.0
428,APA,APA Corporation,Oil & Gas E&P,Energy,1954,307264996.0
429,BEN,Franklin Resources,Asset Management,Financials,1947,498978003.0
430,CPB,Campbell Soup Company,Packaged Foods,Consumer Staples,1869,297944992.0
431,SJM,The J. M. Smucker Company,Packaged Foods,Consumer Staples,1897,102131000.0
432,CDAY,Ceridian HCM Holding,Software - Application,Technology,-,155612989.0
433,VTRS,Viatris,Drug Manufacturers - Specialty & Generic,Healthcare,-,1199529979.0
434,EVRG,Evergy,Utilities - Regulated Electric,Utilities,-,229701990.0
435,HST,Host Hotels & Resorts,REIT - Hotel & Motel,Real Estate,-,721614953.0
436,GEN,Gen Digital,Software - Infrastructure,Technology,1982,639438965.0
437,IPG,The Interpublic Group of Companies,Advertising Agencies,Communication Services,1902,384934988.0
438,ZBRA,Zebra Technologies,Communication Equipment,Technology,1969,51338402.0
439,TECH,Bio-Techne,Biotechnology,Healthcare,1976,158239995.0
440,KMX,CarMax,Auto & Truck Dealerships,Consumer Discretionary,1993,158667999.0
441,REG,Regency Centers,REIT - Retail,Real Estate,-,182137003.0
442,PNR,Pentair,Specialty Industrial Machinery,Industrials,1966,165112991.0
443,WYNN,Wynn Resorts,Resorts & Casinos,Consumer Discretionary,2002,113936003.0
444,KIM,Kimco Realty,REIT - Retail,Real Estate,-,619874986.0
445,NI,NiSource,Utilities - Regulated Gas,Utilities,1912,413254992.0
446,GL,Globe Life,Insurance - Life,Financials,-,94819697.0
447,JKHY,Jack Henry & Associates,Information Technology Services,Technology,1976,72800799.0
448,AOS,A. O. Smith,Specialty Industrial Machinery,Industrials,1874,150490995.0
449,MTCH,Match Group,Internet Content & Information,Communication Services,-,278087001.0
450,CPT,Camden Property Trust,REIT - Residential,Real Estate,-,106770993.0
451,BIO,Bio-Rad Laboratories,Medical Devices,Healthcare,1952,29048700.0
452,CZR,Caesars Entertainment,Resorts & Casinos,Consumer Discretionary,1937,223738990.0
453,CRL,Charles River Laboratories International,Diagnostics & Research,Healthcare,-,51271401.0
454,CHRW,C.H. Robinson Worldwide,Integrated Freight & Logistics,Industrials,1905,116431003.0
455,PEAK,Healthpeak Properties,REIT - Healthcare Facilities,Real Estate,-,547053992.0
456,KEY,KeyCorp,Banks - Regional,Financials,1825,935919030.0
457,HSIC,Henry Schein,Medical Distribution,Healthcare,1932,130585000.0
458,WRK,WestRock Company,Packaging & Containers,Consumer Discretionary,-,256403007.0
459,NRG,NRG Energy,Utilities - Independent Power Producers,Utilities,1989,229116985.0
460,BWA,BorgWarner,Auto Parts,Consumer Discretionary,1987,235063004.0
461,FFIV,"F5, Inc.",Software - Infrastructure,Technology,1996,59306398.0
462,PODD,Insulet,Medical Devices,Healthcare,2000,69821100.0
463,ALLE,Allegion,Security & Protection Services,Industrials,-,87780001.0
464,QRVO,Qorvo,Semiconductors,Technology,1957,97910403.0
465,TFX,Teleflex,Medical Instruments & Supplies,Healthcare,1943,46992197.0
466,AES,The AES Corporation,Utilities - Diversified,Utilities,1981,669629007.0
467,BXP,Boston Properties,REIT - Office,Real Estate,-,156864994.0
468,MKTX,MarketAxess Holdings,Capital Markets,Financials,2000,37677400.0
469,UHS,Universal Health Services,Medical Care Facilities,Healthcare,1978,69379103.0
470,EMN,Eastman Chemical Company,Specialty Chemicals,Materials,1920,118556010.0
471,HII,Huntington Ingalls Industries,Aerospace & Defense,Industrials,1886,39867601.0
472,PNW,Pinnacle West Capital,Utilities - Regulated Electric,Utilities,-,113312006.0
473,JNPR,Juniper Networks,Communication Equipment,Technology,1996,321360004.0
474,CTLT,Catalent,Drug Manufacturers - Specialty & Generic,Healthcare,2007,180272000.0
475,RHI,Robert Half International,Staffing & Employment Services,Industrials,1948,107082000.0
476,AAL,American Airlines Group,Airlines,Industrials,1930,653361969.0
477,HAS,Hasbro,Leisure,Consumer Discretionary,1923,138740993.0
478,PARA,Paramount Global,Entertainment,Communication Services,1986,661262044.0
479,ETSY,"Etsy, Inc.",Internet Retail,Consumer Discretionary,2005,123013993.0
480,FMC,FMC Corporation,Agricultural Inputs,Materials,1910,124733993.0
481,AIZ,Assurant,Insurance - Specialty,Financials,1892,53022702.0
482,RL,Ralph Lauren,Apparel Manufacturing,Consumer Discretionary,1967,65269198.0
483,FRT,Federal Realty Investment Trust,REIT - Retail,Real Estate,-,82160304.0
484,BBWI,Bath & Body Works,Specialty Retail,Consumer Discretionary,1963,227380993.0
485,SEDG,SolarEdge Technologies,Solar,Technology,2006,56557800.0
486,WHR,Whirlpool,"Furnishings, Fixtures & Appliances",Consumer Discretionary,1911,54817801.0
487,DVA,DaVita,Medical Care Facilities,Healthcare,1994,91299996.0
488,XRAY,DENTSPLY SIRONA,Medical Instruments & Supplies,Healthcare,1899,211715992.0
489,GNRC,Generac Holdings,Specialty Industrial Machinery,Industrials,1959,62242597.0
490,NCLH,Norwegian Cruise Line Holdings,Travel Services,Consumer Discretionary,1966,425424004.0
491,TPR,Tapestry,Luxury Goods,Consumer Discretionary,1941,229129005.0
492,VFC,V.F. Corporation,Apparel Manufacturing,Consumer Discretionary,1899,388867992.0
493,IVZ,Invesco,Asset Management,Financials,1935,448620999.0
494,CMA,Comerica,Banks - Regional,Financials,1849,131776991.0
495,MHK,Mohawk Industries,"Furnishings, Fixtures & Appliances",Consumer Discretionary,1988,63682204.0
496,ZION,"Zions Bancorporation,NA",Banks - Regional,Financials,1873,148144995.0
497,SEE,Sealed Air,Packaging & Containers,Consumer Discretionary,1960,145000003.0
498,OGN,Organon & Co.,Drug Manufacturers - General,Healthcare,1923,255567981.0
499,ALK,Alaska Air Group,Airlines,Industrials,1932,127223997.0
500,NWL,Newell Brands,Household & Personal Products,Consumer Staples,1903,414200009.0
